name,lat,long,city
209,Great Falls International Airport,47.48199844,-111.3710022,Great Falls
210,Rogue Valley International Medford Airport,42.37419891357422,-122.87300109863281,Medford
211,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,Toledo
212,St George Regional Airport,37.036389,-113.510306,St George
213,Lake Tahoe Airport,38.89390182495117,-119.99500274658203,South Lake Tahoe
214,Hilton Head Airport,32.2244,-80.697502,Hilton Head Island
215,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,Blountville
216,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,Kalamazoo
217,Cherry Capital Airport,44.74140167236328,-85.58219909667969,Traverse City
218,Pueblo Memorial Airport,38.289101,-104.497002,Pueblo
219,Page Municipal Airport,36.92610168,-111.447998,Page
220,Phoenix Deer Valley Airport,33.6883010864,-112.083000183,Phoenix
221,Gulfport Biloxi International Airport,30.407301,-89.070099,Gulfport
222,University of Illinois Willard Airport,40.039819,-88.276249,Savoy
223,Augusta Regional At Bush Field,33.3699,-81.9645,Augusta
224,Evansville Regional Airport,38.0369987488,-87.5324020386,Evansville
225,Portsmouth International at Pease Airport,43.0778999329,-70.8233032227,Portsmouth
226,Laughlin Bullhead International Airport,35.157398,-114.559998,Bullhead City
227,Appleton International Airport,44.258099,-88.519096,Appleton
228,Falcon Field,33.4608001709,-111.727996826,Mesa
229,Gillespie Field,32.826198577881,-116.97200012207,San Diego/El Cajon
230,Nut Tree Airport,38.376800537109375,-121.96199798583984,Vacaville
231,Casper-Natrona County International Airport,42.908001,-106.463997,Casper
232,Easterwood Field,30.58860016,-96.36380005,College Station
233,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,Montgomery
234,General Wayne A. Downing Peoria International Airport,40.6642,-89.693298,Peoria
235,Santa Maria Public Airport Captain G Allan Hancock Field,34.898899,-120.457001,Santa Maria
236,Shreveport Regional Airport,32.446602,-93.8256,Shreveport
237,Trenton Mercer Airport,40.27669906616211,-74.8134994506836,Trenton
238,Meadows Field,35.433601,-119.056999,Bakersfield
239,Ithaca Tompkins Regional Airport,42.49100112915039,-76.4583969116211,Ithaca
240,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,Cleveland
241,Miami Executive Airport,25.6479,-80.4328,Miami
242,David Wayne Hooks Memorial Airport,30.0618000031,-95.55280303960001,Houston
243,Reid-Hillview Airport of Santa Clara County,37.332901001,-121.819000244,San Jose
244,Atlantic City International Airport,39.45759963989258,-74.57720184326172,Atlantic City
245,Fort Smith Regional Airport,35.336601,-94.367401,Fort Smith
246,McAllen Miller International Airport,26.176141,-98.237965,McAllen
247,Destin-Fort Walton Beach Airport,30.4832,-86.525398,Valparaiso
248,Groton New London Airport,41.330101,-72.045097,Groton
249,St Lucie County International Airport,27.49510002,-80.36830139,Fort Pierce
250,Friday Harbor Airport,48.5219993591,-123.024002075,Friday Harbor
251,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,Cheyenne
252,Juneau International Airport,58.35499954223633,-134.5760040283203,Juneau
253,San Angelo Regional Mathis Field,31.35770034790039,-100.49600219726562,San Angelo
254,Waco Regional Airport,31.611299514770508,-97.23049926757812,Waco
255,Republic Airport,40.7288017273,-73.4133987427,Farmingdale
256,Hartford Brainard Airport,41.736698150635,-72.649398803711,Hartford
257,The Florida Keys Marathon Airport,24.726101,-81.051399,Marathon
258,Portland Hillsboro Airport,45.540401,-122.949997,Portland
259,Half Moon Bay Airport,37.513401031499995,-122.500999451,Half Moon Bay
260,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,Bloomington/Normal
261,La Crosse Regional Airport,43.879002,-91.256699,La Crosse
262,Lake Havasu City International Airport,34.571098,-114.358002,Lake Havasu City
263,The Ohio State University Airport - Don Scott Field,40.0798,-83.072998,Columbus
264,Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,Jacksonville
265,Oxnard Airport,34.200801849365,-119.20700073242,Oxnard
266,Big Bear City Airport,34.2638015747,-116.856002808,Big Bear
267,Dallas Executive Airport,32.6809005737,-96.8682022095,Dallas
268,Tracy Municipal Airport,37.68899917602539,-121.44200134277344,Tracy
269,Cape Cod Gateway Airport,41.6693,-70.280403,Hyannis
270,Idaho Falls Regional Airport,43.514599,-112.070999,Idaho Falls
271,Modesto City Co-Harry Sham Field,37.625801,-120.954002,Modesto
272,Quad City International Airport,41.448502,-90.5075,Moline
273,Ogden Hinckley Airport,41.195899963379,-112.0120010376,Ogden
274,Rocky Mountain Metropolitan Airport,39.90879822,-105.1169968,Denver
275,Truckee Tahoe Airport,39.319999694799996,-120.13999939,Truckee
276,Chandler Municipal Airport,33.2691,-111.810997,Chandler
277,Columbia Airport,38.030399322499996,-120.415000916,Columbia
278,Frederick Municipal Airport,39.417598724399994,-77.3742980957,Frederick
279,First Flight Airport,36.0181999207,-75.67130279540001,Kill Devil Hills
280,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,Ocala
281,Petaluma Municipal Airport,38.25780106,-122.6060028,Petaluma
282,Zamperini Field,33.803398132324,-118.33999633789,Torrance
283,Cedar City Regional Airport,37.70100021362305,-113.0989990234375,Cedar City
284,Chicago Rockford International Airport,42.1954,-89.097198,Chicago/Rockford
285,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,Elmira/Corning
286,Grand Forks International Airport,47.949299,-97.176102,Grand Forks
287,Abilene Regional Airport,32.4113006592,-99.68190002440001,Abilene
288,Scholes International At Galveston Airport,29.265300750732422,-94.86039733886719,Galveston
289,Fulton County Airport Brown Field,33.7790985107,-84.5214004517,Atlanta
290,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,Athens
291,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,Bridgeport
292,Redding Municipal Airport,40.50899887,-122.2929993,Redding
293,Charlotte County Airport,26.9202,-81.990501,Punta Gorda
294,Chicago Executive Airport,42.114222,-87.901494,Chicago/Prospect Heights/Wheeling
295,Brown Field Municipal Airport,32.572639,-116.980019,San Diego
296,Fullerton Municipal Airport,33.8720016479,-117.980003357,Fullerton
297,Wiley Post Airport,35.53419876,-97.64710236,Oklahoma City
298,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,Brownsville
299,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,Fayetteville
300,Glacier Park International Airport,48.31050109863281,-114.25599670410156,Kalispell
301,Niagara Falls International Airport,43.1073,-78.946198,Niagara Falls
302,University Park Airport,40.849374,-77.84852,State College
303,Kingman Airport,35.259499,-113.938004,Kingman
304,Jacqueline Cochran Regional Airport,33.62670135498,-116.16000366211,Palm Springs
305,St Simons Island Airport,31.1518,-81.391296,St Simons Island
306,Destin Executive Airport,30.40010071,-86.47149658,Destin
307,Flying Cloud Airport,44.8272018433,-93.45709991460001,Minneapolis
308,Witham Field,27.18169975,-80.22109985,Stuart
309,Erie International Tom Ridge Field,42.083127,-80.173867,Erie
310,Lancaster Airport,40.121700286865234,-76.29609680175781,Lancaster
311,Abraham Lincoln Capital Airport,39.844101,-89.677902,Springfield
312,Spirit of St Louis Airport,38.662102,-90.652,St Louis
313,Willow Run Airport,42.23789978,-83.53040314,Detroit
314,Sacramento Mather Airport,38.553902,-121.297997,Sacramento
315,Dutchess County Airport,41.6265983581543,-73.88420104980469,Poughkeepsie
316,Stockton Metropolitan Airport,37.894199371338,-121.2379989624,Stockton
317,Durango La Plata County Airport,37.151501,-107.753998,Durango
318,Auburn Municipal Airport,38.95479965,-121.0820007,Auburn
319,Essex County Airport,40.875198364300005,-74.2814025879,Caldwell
320,Manassas Regional Airport/Harry P. Davis Field,38.72140121,-77.51540375,Manassas
321,Marin County Airport - Gnoss Field,38.143600463867,-122.55599975586,Novato
322,Columbia Regional Airport,38.8181,-92.219597,Columbia
323,Roswell Air Center Airport,33.301601,-104.530998,Roswell
324,Salina Municipal Airport,38.79100036621094,-97.6521987915039,Salina
325,Worcester Regional Airport,42.2673,-71.875702,Worcester
326,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,Detroit
327,Morristown Municipal Airport,40.799400329589844,-74.41490173339844,Morristown
328,Oakland County International Airport,42.665500640869,-83.420097351074,Pontiac
329,Page Field,26.58659935,-81.86329650879999,Fort Myers
330,Chino Airport,33.97470093,-117.637001,Chino
331,Harris Ranch Airport,36.247813,-120.238323,Coalinga
332,Gwinnett County Briscoe Field,33.97809982,-83.96240234,Lawrenceville
333,French Valley Airport,33.5742,-117.127998,Murrieta
334,Ryan Field,32.1422004699707,-111.17500305175781,Tucson
335,Valley International Airport,26.228500366210938,-97.65440368652344,Harlingen
336,Minot International Airport,48.2593994140625,-101.27999877929688,Minot
337,Tweed New Haven Airport,41.26369858,-72.88680267,New Haven
338,Tri Cities Airport,46.26470184326172,-119.11900329589844,Pasco
339,Provo-Utah Lake International Airport,40.2192,-111.723,Provo
340,Space Coast Regional Airport,28.514799118042,-80.799201965332,Titusville
341,Blythe Airport,33.6192016602,-114.717002869,Blythe
342,Dupage Airport,41.90779877,-88.24859619,Chicago/West Chicago
343,Clermont County Airport,39.07839966,-84.21019745,Batavia
344,Casa Grande Municipal Airport,32.954899,-111.766998,Casa Grande
345,Lake County Airport,39.220298767100005,-106.317001343,Leadville
346,Renton Municipal Airport,47.4930992126,-122.216003418,Renton
347,Venice Municipal Airport,27.071599960327,-82.440299987793,Venice
348,Tyler Pounds Regional Airport,32.35409927368164,-95.40239715576172,Tyler
349,Williamsport Regional Airport,41.241798400878906,-76.92109680175781,Williamsport
350,Cobb County International Airport-McCollum Field,34.01316,-84.59721,Atlanta
351,Dillant Hopkins Airport,42.898399,-72.270798,Keene
352,Chico Municipal Airport,39.79539871,-121.8580017,Chico
353,Winter Haven Regional Airport - Gilbert Field,28.062901,-81.753304,Winter Haven
354,Helena Regional Airport,46.6068,-111.983002,Helena
355,Laredo International Airport,27.543800354003906,-99.46160125732422,Laredo
356,Lebanon Municipal Airport,43.626098632799994,-72.30419921880001,Lebanon
357,Riverside Municipal Airport,33.9519,-117.445,Riverside
358,Sugar Land Regional Airport,29.622299194336,-95.65650177002,Houston
359,Red Bluff Municipal Airport,40.1506996155,-122.251998901,Red Bluff
360,Charleston Executive Airport,32.70090103149414,-80.00289916992188,Charleston
361,New Century AirCenter Airport,38.830898,-94.890297,New Century
362,Provincetown Municipal Airport,42.0718994141,-70.2213973999,Provincetown
363,Memorial Field Airport,34.4788,-93.096262,Hot Springs
364,East Texas Regional Airport,32.38399887084961,-94.71150207519531,Longview
